"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 10 05:52:43 GMT 2023","Wed May 10 05:53:07 GMT 2023","23450","","com.ivakulchyk.task.CartTest","","com.ivakulchyk.task.CartTest","testCountProductsAtCartPopUp","testCountProductsAtCartPopUp(int, int) [1] 4, 5",""
"passed","Wed May 10 05:52:19 GMT 2023","Wed May 10 05:52:43 GMT 2023","23908","","com.ivakulchyk.task.CartTest","","com.ivakulchyk.task.CartTest","testCountOfProductsShoppingCartPageToCart","testCountOfProductsShoppingCartPageToCart(int, int) [1] 6, 7",""
"passed","Wed May 10 05:51:59 GMT 2023","Wed May 10 05:52:19 GMT 2023","20113","","com.ivakulchyk.task.CartTest","","com.ivakulchyk.task.CartTest","testCountProductAtCartPopUp","testCountProductAtCartPopUp()",""
"passed","Wed May 10 05:51:30 GMT 2023","Wed May 10 05:51:59 GMT 2023","29424","","com.ivakulchyk.task.CartTest","","com.ivakulchyk.task.CartTest","testAbilityToBuyThroughTheCart","testAbilityToBuyThroughTheCart(int, int) [1] 3, 5",""
